SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Condo/Co-op,1411 N State Pkwy Unit 1N,Chicago,IL,60610,1499500,4,2.5,CHI - Near North Side,2900,,1917,11,517,2289,Active,,,http://www.redfin.com/IL/Chicago/1411-N-State-Pkwy-60610/unit-1N/home/14125821,MRED,11236861,N,Y,41.9081266,-87.6283893
MLS Listing,,Condo/Co-op,1000 N Lake Shore Dr #1906,Chicago,IL,60611,179000,0,1.0,CHI - Near North Side,,,1953,13,,642,Active,,,http://www.redfin.com/IL/Chicago/1000-N-Lake-Shore-Dr-60611/unit-1906/home/14121233,MRED,11236112,N,Y,41.9012375,-87.6245855
MLS Listing,,Condo/Co-op,1000 N Lake Shore Plz Unit 21C,Chicago,IL,60611,860000,2,2.5,CHI - Near North Side,2200,,1964,14,391,2195,Active,,,http://www.redfin.com/IL/Chicago/1000-N-Lake-Shore-Dr-60611/unit-21C/home/172403353,MRED,11235594,N,Y,41.9012102,-87.6246539
MLS Listing,,Single Family Residential,1415 N State Pkwy,Chicago,IL,60610,2700000,5,3.5,CHI - Near North Side,6000,2600,1901,14,450,,Active,,,http://www.redfin.com/IL/Chicago/1415-N-State-Pkwy-60610/home/14126828,MRED,11235280,N,Y,41.9082431,-87.6284487
MLS Listing,,Single Family Residential,1252 N State Pkwy,Chicago,IL,60610,2700000,5,6.0,CHI - Near North Side,5000,2949,1872,14,540,,Active,,,http://www.redfin.com/IL/Chicago/1252-N-State-Pkwy-60610/home/14111622,MRED,11235096,N,Y,41.9054935,-87.6290877
MLS Listing,,Condo/Co-op,1255 N State Pkwy Unit 7AC,Chicago,IL,60610,575000,2,2.0,CHI - Near North Side,2000,,1924,15,288,2769,Active,,,http://www.redfin.com/IL/Chicago/1255-N-State-Pkwy-60610/unit-7-AC/home/14124156,MRED,11234424,N,Y,41.905509,-87.6283954
MLS Listing,,Condo/Co-op,21 W Goethe St Unit 8C,Chicago,IL,60610,145000,0,1.0,CHI - Near North Side,,,1970,15,,541,Active,,,http://www.redfin.com/IL/Chicago/21-W-Goethe-St-60610/unit-8C/home/14111187,MRED,11234014,N,Y,41.9054585,-87.6296264
MLS Listing,,Condo/Co-op,179 E Lake Shore Dr #302,Chicago,IL,60611,389000,1,1.0,Drake Tower,875,,1928,15,445,2570,Active,,,http://www.redfin.com/IL/Chicago/179-E-Lake-Shore-Dr-60611/unit-302/home/13040529,MRED,11233949,N,Y,41.9006308,-87.6226581
MLS Listing,,Condo/Co-op,33 E Cedar St Unit 5B,Chicago,IL,60611,199500,1,1.0,CHI - Near North Side,,,1958,15,,678,Active,,,http://www.redfin.com/IL/Chicago/33-E-Cedar-St-60611/unit-5B/home/14121636,MRED,11233477,N,Y,41.9022307,-87.6271603
MLS Listing,,Condo/Co-op,4 E Elm St Unit 17N,Chicago,IL,60611,3350000,3,3.5,CHI - Near North Side,3100,,2016,16,1081,3042,Active,,,http://www.redfin.com/IL/Chicago/4-E-Elm-St-60610/unit-17N/home/171314668,MRED,11233009,N,Y,41.9033068,-87.6284213
MLS Listing,,Condo/Co-op,1255 N State Pkwy Unit 4AC,Chicago,IL,60610,750000,2,2.0,Churchill,2000,,1924,16,375,2769,Active,,,http://www.redfin.com/IL/Chicago/1255-N-State-Pkwy-60610/unit-4AC/home/144940255,MRED,11222238,N,Y,41.905509,-87.6283954
MLS Listing,,Condo/Co-op,1550 N Lake Shore Dr Unit 3E,Chicago,IL,60610,179000,1,1.0,CHI - Near North Side,,,1960,17,,898,Active,,,http://www.redfin.com/IL/Chicago/1550-N-Lake-Shore-Dr-60610/unit-3E/home/12575827,MRED,11232035,N,Y,41.9108985,-87.6267754
